"","features","expr","time","size"
"183",3,"l1svm_their()",119251184,2750
"184",3,"l2svm_their()",2108234222,2750
"185",3,"l2svm_their()",1267857226,2750
"186",3,"l1svm_ours()",152865056,2750
"187",3,"l1svm_their()",56031675,2750
"188",3,"l1svm_ours()",197038504,2750
"189",3,"l2svm_their()",1054983414,2750
"190",3,"l1svm_ours()",1406656560,3000
"191",3,"l2svm_their()",229905594,3000
"192",3,"l2svm_their()",280756755,3000
"193",3,"l2svm_their()",239036610,3000
"194",3,"l1svm_their()",207010417,3000
"195",3,"l1svm_ours()",1157993613,3000
"196",3,"l1svm_their()",208341060,3000
"197",3,"l1svm_ours()",1135210347,3000
"198",3,"l1svm_their()",208108178,3000
"199",3,"l1svm_their()",207677625,3250
"200",3,"l2svm_their()",542673550,3250
"201",3,"l1svm_ours()",989980947,3250
"202",3,"l1svm_their()",224292803,3250
"203",3,"l1svm_their()",237441694,3250
"204",3,"l1svm_ours()",1278180996,3250
"205",3,"l2svm_their()",287134947,3250
"206",3,"l1svm_ours()",857526267,3250
"207",3,"l2svm_their()",336002570,3250
"208",3,"l1svm_their()",369413859,3500
"209",3,"l1svm_ours()",1135748960,3500
"210",3,"l2svm_their()",1138408307,3500
"211",3,"l1svm_ours()",837172103,3500
"212",3,"l1svm_their()",235968520,3500
"213",3,"l2svm_their()",1188141209,3500
"214",3,"l1svm_their()",232882497,3500
"215",3,"l1svm_ours()",1417551337,3500
"216",3,"l2svm_their()",1137872677,3500
"217",3,"l1svm_ours()",1471648076,3750
"218",3,"l2svm_their()",1610123908,3750
"219",3,"l1svm_their()",244547519,3750
"220",3,"l2svm_their()",1311983667,3750
"221",3,"l2svm_their()",1320684833,3750
"222",3,"l1svm_their()",253658652,3750
"223",3,"l1svm_ours()",1923890157,3750
"224",3,"l1svm_ours()",1493600308,3750
"225",3,"l1svm_their()",239554049,3750
"226",3,"l1svm_ours()",3702757307,4000
"227",3,"l1svm_their()",449887837,4000
"228",3,"l1svm_their()",438033639,4000
"229",3,"l1svm_their()",318667656,4000
"230",3,"l1svm_ours()",1852040510,4000
"231",3,"l1svm_ours()",1787533855,4000
"232",3,"l2svm_their()",836618877,4000
"233",3,"l2svm_their()",1052241812,4000
"234",3,"l2svm_their()",1451062627,4000
"235",4,"l1svm_ours()",184536534,1000
"236",4,"l1svm_their()",36607447,1000
"237",4,"l1svm_ours()",253005440,1000
"238",4,"l2svm_their()",888416941,1000
"239",4,"l2svm_their()",991306576,1000
"240",4,"l1svm_ours()",503562681,1000
"241",4,"l1svm_their()",45405362,1000
"242",4,"l2svm_their()",1107851289,1000
"243",4,"l1svm_their()",63651505,1000
"244",4,"l1svm_their()",18067986,1250
"245",4,"l1svm_their()",18342474,1250
"246",4,"l1svm_ours()",56641235,1250
"247",4,"l1svm_their()",18230919,1250
"248",4,"l2svm_their()",176276572,1250
"249",4,"l2svm_their()",161882462,1250
"250",4,"l1svm_ours()",94095209,1250
"251",4,"l1svm_ours()",79374783,1250
"252",4,"l2svm_their()",196064389,1250
"253",4,"l1svm_their()",28313079,1500
"254",4,"l2svm_their()",887209327,1500
"255",4,"l1svm_their()",39774712,1500
"256",4,"l2svm_their()",1121469472,1500
"257",4,"l1svm_their()",64843470,1500
"258",4,"l1svm_ours()",321960998,1500
"259",4,"l1svm_ours()",236748464,1500
"260",4,"l2svm_their()",894850818,1500
"261",4,"l1svm_ours()",244058314,1500
"262",4,"l2svm_their()",679639003,1750
"263",4,"l1svm_ours()",586059030,1750
"264",4,"l2svm_their()",708127764,1750
"265",4,"l1svm_their()",113567122,1750
"266",4,"l1svm_their()",196697365,1750
"267",4,"l1svm_their()",148450602,1750
"268",4,"l1svm_ours()",789410806,1750
"269",4,"l2svm_their()",1312523247,1750
"270",4,"l1svm_ours()",1097661638,1750
"271",4,"l2svm_their()",272987207,2000
"272",4,"l2svm_their()",257501829,2000
"273",4,"l1svm_ours()",808568257,2000
"274",4,"l1svm_their()",107024105,2000
"275",4,"l1svm_ours()",786504487,2000
"276",4,"l1svm_their()",123210026,2000
"277",4,"l1svm_their()",125654205,2000
"278",4,"l1svm_ours()",939126272,2000
"279",4,"l2svm_their()",268369507,2000
"280",4,"l1svm_their()",40954015,2250
"281",4,"l1svm_their()",28444259,2250
"282",4,"l2svm_their()",327940646,2250
"283",4,"l1svm_ours()",174566988,2250
"284",4,"l2svm_their()",323955105,2250
"285",4,"l2svm_their()",347605606,2250
"286",4,"l1svm_ours()",107341662,2250
"287",4,"l1svm_ours()",120410503,2250
"288",4,"l1svm_their()",29315482,2250
"289",4,"l2svm_their()",386374887,2500
"290",4,"l2svm_their()",346155045,2500
"291",4,"l1svm_ours()",128478591,2500
"292",4,"l1svm_their()",50628731,2500
"293",4,"l1svm_ours()",133028197,2500
"294",4,"l1svm_their()",55202178,2500
"295",4,"l1svm_ours()",172976077,2500
"296",4,"l2svm_their()",445331207,2500
"297",4,"l1svm_their()",45788864,2500
"298",4,"l1svm_ours()",179439019,2750
"299",4,"l1svm_their()",38028989,2750
"300",4,"l1svm_ours()",241951799,2750
"301",4,"l1svm_their()",107146855,2750
"302",4,"l1svm_ours()",448802454,2750
"303",4,"l2svm_their()",1262656943,2750
"304",4,"l2svm_their()",1242812520,2750
"305",4,"l2svm_their()",1218020395,2750
"306",4,"l1svm_their()",39593252,2750
"307",4,"l2svm_their()",1250859973,3000
"308",4,"l1svm_their()",205637522,3000
"309",4,"l2svm_their()",1325802319,3000
"310",4,"l1svm_ours()",748239916,3000
"311",4,"l1svm_their()",205214509,3000
"312",4,"l1svm_ours()",914762817,3000
"313",4,"l2svm_their()",1461528589,3000
"314",4,"l1svm_ours()",1036957021,3000
"315",4,"l1svm_their()",174220059,3000
"316",4,"l2svm_their()",1218891929,3250
"317",4,"l1svm_ours()",1529520472,3250
"318",4,"l1svm_ours()",1089500286,3250
"319",4,"l1svm_their()",203873375,3250
"320",4,"l1svm_their()",251435751,3250
"321",4,"l1svm_ours()",1128655858,3250
"322",4,"l2svm_their()",1228877858,3250
"323",4,"l1svm_their()",244969874,3250
"324",4,"l2svm_their()",1510405421,3250
"325",4,"l2svm_their()",713796049,3500
"326",4,"l1svm_their()",223448883,3500
"327",4,"l1svm_their()",257910757,3500
"328",4,"l1svm_their()",250562541,3500
"329",4,"l1svm_ours()",1253425650,3500
"330",4,"l2svm_their()",674325325,3500
"331",4,"l2svm_their()",529698108,3500
"332",4,"l1svm_ours()",1099304900,3500
"333",4,"l1svm_ours()",1249919693,3500
"334",4,"l2svm_their()",522172135,3750
"335",4,"l2svm_their()",543171681,3750
"336",4,"l1svm_their()",263769096,3750
"337",4,"l1svm_ours()",621898715,3750
"338",4,"l1svm_their()",450175214,3750
"339",4,"l1svm_ours()",877650343,3750
"340",4,"l2svm_their()",787057920,3750
"341",4,"l1svm_ours()",1173512225,3750
"342",4,"l1svm_their()",279681283,3750
"343",4,"l1svm_ours()",1634544782,4000
"344",4,"l2svm_their()",1523330461,4000
"345",4,"l1svm_their()",412796565,4000
"346",4,"l1svm_their()",358605655,4000
"347",4,"l2svm_their()",2200919390,4000
"348",4,"l1svm_ours()",2799648086,4000
"349",4,"l2svm_their()",3169090210,4000
"350",4,"l1svm_ours()",1927965846,4000
"351",4,"l1svm_their()",500322290,4000
"352",5,"l1svm_ours()",794733494,1000
"353",5,"l2svm_their()",251285344,1000
"354",5,"l1svm_their()",56529118,1000
"355",5,"l1svm_ours()",697773747,1000
"356",5,"l1svm_their()",167768840,1000
"357",5,"l2svm_their()",343796584,1000
"358",5,"l1svm_ours()",669215856,1000
"359",5,"l1svm_their()",91089592,1000
"360",5,"l2svm_their()",377734427,1000
"361",5,"l1svm_ours()",302098606,1250
"362",5,"l1svm_their()",57633032,1250
"363",5,"l1svm_ours()",449020738,1250
"364",5,"l1svm_their()",115263898,1250
"365",5,"l2svm_their()",433342605,1250
"366",5,"l1svm_their()",101874602,1250
"367",5,"l2svm_their()",423861108,1250
"368",5,"l1svm_ours()",477076093,1250
"369",5,"l2svm_their()",210204470,1250
"370",5,"l1svm_ours()",644839820,1500
"371",5,"l2svm_their()",569858736,1500
"372",5,"l2svm_their()",267876837,1500
"373",5,"l1svm_their()",110082177,1500
"374",5,"l1svm_ours()",914084077,1500
"375",5,"l1svm_their()",187491327,1500
"376",5,"l1svm_their()",139280774,1500
"377",5,"l2svm_their()",387882167,1500
"378",5,"l1svm_ours()",610367909,1500
"379",5,"l1svm_their()",48047105,1750
"380",5,"l1svm_ours()",241553622,1750
"381",5,"l1svm_their()",50951257,1750
"382",5,"l1svm_ours()",304717501,1750
